"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00511","dme00511","Other glycan degradation","1/95","22/3209",0.48486920356142,0.834037696324941,0.798122197440135,"CG33090",1
"dme02010","dme02010","ABC transporters","1/95","22/3209",0.48486920356142,0.834037696324941,0.798122197440135,"CG10226",1
"dme04144","dme04144","Endocytosis","4/95","122/3209",0.491648758100238,0.834037696324941,0.798122197440135,"baz/Amph/Vps4/siz",4
"dme04080","dme04080","Neuroactive ligand-receptor interaction","2/95","56/3209",0.498446918041001,0.834037696324941,0.798122197440135,"baz/Dh31-R",2
"dme03440","dme03440","Homologous recombination","1/95","23/3209",0.500224530094733,0.834037696324941,0.798122197440135,"rad50",1
"dme00512","dme00512","Mucin type O-glycan biosynthesis","1/95","24/3209",0.515126811840181,0.834037696324941,0.798122197440135,"CG34057",1
"dme03018","dme03018","RNA degradation","2/95","58/3209",0.517318939337551,0.834037696324941,0.798122197440135,"Rcd-1/Rrp4",2
"dme04391","dme04391","Hippo signaling pathway - fly","2/95","61/3209",0.544745683550377,0.834037696324941,0.798122197440135,"baz/bsk",2
"dme04150","dme04150","mTOR signaling pathway","3/95","96/3209",0.54643420621863,0.834037696324941,0.798122197440135,"inaC/CG3764/Sec13",3
"dme00983","dme00983","Drug metabolism - other enzymes","3/95","97/3209",0.553564845102483,0.834037696324941,0.798122197440135,"RnrS/GstE9/AOX4",3
"dme00900","dme00900","Terpenoid backbone biosynthesis","1/95","27/3209",0.557245774339923,0.834037696324941,0.798122197440135,"CG40485",1
"dme00600","dme00600","Sphingolipid metabolism","1/95","28/3209",0.570464395156298,0.834037696324941,0.798122197440135,"CG33090",1
"dme00970","dme00970","Aminoacyl-tRNA biosynthesis","2/95","64/3209",0.571087798230623,0.834037696324941,0.798122197440135,"LeuRS/GatA",2
"dme04120","dme04120","Ubiquitin mediated proteolysis","3/95","100/3209",0.574562187856198,0.834037696324941,0.798122197440135,"Herc4/Cdc27/sip3",3
"dme00230","dme00230","Purine metabolism","3/95","101/3209",0.581426747620674,0.834037696324941,0.798122197440135,"RnrS/AOX4/Gyc32E",3
"dme01230","dme01230","Biosynthesis of amino acids","2/95","66/3209",0.588036982938634,0.834037696324941,0.798122197440135,"l(1)G0156/Gapdh1",2
"dme00513","dme00513","Various types of N-glycan biosynthesis","1/95","30/3209",0.595741211660672,0.834037696324941,0.798122197440135,"alpha-Man-Ic",1
"dme04310","dme04310","Wnt signaling pathway","3/95","106/3209",0.614706840431108,0.845221905592774,0.808824790040932,"nkd/inaC/bsk",3
"dme00053","dme00053","Ascorbate and aldarate metabolism","1/95","33/3209",0.630921826371146,0.852297905799619,0.815596082104898,"Aldh",1
"dme00052","dme00052","Galactose metabolism","1/95","37/3209",0.673157996378575,0.871419315314579,0.833894081640745,"CG32444",1
"dme00510","dme00510","N-Glycan biosynthesis","1/95","38/3209",0.682946770131424,0.871419315314579,0.833894081640745,"alpha-Man-Ic",1
"dme04745","dme04745","Phototransduction - fly","1/95","38/3209",0.682946770131424,0.871419315314579,0.833894081640745,"inaC",1
"dme00240","dme00240","Pyrimidine metabolism","1/95","40/3209",0.701662305837713,0.871419315314579,0.833894081640745,"RnrS",1
"dme00790","dme00790","Folate biosynthesis","1/95","40/3209",0.701662305837713,0.871419315314579,0.833894081640745,"CG3292",1
"dme00561","dme00561","Glycerolipid metabolism","1/95","42/3209",0.719284017317979,0.879124910055308,0.841267856512256,"Aldh",1
"dme04137","dme04137","Mitophagy - animal","1/95","49/3209",0.773227704023382,0.930289581403132,0.890229264500605,"bsk",1
"dme00330","dme00330","Arginine and proline metabolism","1/95","53/3209",0.799304329386236,0.946868205580618,0.90609397663217,"Aldh",1
"dme03010","dme03010","Ribosome","5/95","240/3209",0.850721193608881,0.95119249658614,0.910232054149416,"mRpL23/RpL23A/RpL40/RpL28/RpL27",5
"dme04070","dme04070","Phosphatidylinositol signaling system","1/95","63/3209",0.852222342923397,0.95119249658614,0.910232054149416,"inaC",1
"dme04068","dme04068","FoxO signaling pathway","1/95","65/3209",0.86101387212781,0.95119249658614,0.910232054149416,"bsk",1
"dme04624","dme04624","Toll and Imd signaling pathway","1/95","67/3209",0.869287559187501,0.95119249658614,0.910232054149416,"bsk",1
"dme00982","dme00982","Drug metabolism - cytochrome P450","1/95","68/3209",0.873239717646185,0.95119249658614,0.910232054149416,"GstE9",1
"dme00980","dme00980","Metabolism of xenobiotics by cytochrome P450","1/95","69/3209",0.877073600748259,0.95119249658614,0.910232054149416,"GstE9",1
"dme03008","dme03008","Ribosome biogenesis in eukaryotes","3/95","192/3209",0.931316590587272,0.984787326583156,0.942380216825987,"CG33158/Nxt1/CG4806",3
"dme04145","dme04145","Phagosome","1/95","89/3209",0.933629543384031,0.984787326583156,0.942380216825987,"Sdic2",1
"dme04140","dme04140","Autophagy - animal","1/95","100/3209",0.952792341518631,0.988065656913381,0.945517375036728,"bsk",1
"dme04142","dme04142","Lysosome","1/95","118/3209",0.973038646156421,0.988065656913381,0.945517375036728,"Ids",1
"dme03040","dme03040","Spliceosome","1/95","128/3209",0.980277188063997,0.988065656913381,0.945517375036728,"CG15525",1
"dme00190","dme00190","Oxidative phosphorylation","1/95","144/3209",0.988065656913381,0.988065656913381,0.945517375036728,"CG31648",1
