"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme04310","dme04310","Wnt signaling pathway","2/35","106/3209",0.322639612055618,0.603195796451808,0.56111236879238,"CanB/norpA",2
"dme04745","dme04745","Phototransduction - fly","1/35","38/3209",0.342408218882777,0.613481392164976,0.570680364804629,"norpA",1
"dme00561","dme00561","Glycerolipid metabolism","1/35","42/3209",0.370977114655969,0.638080637208267,0.593563383449551,"Lpin",1
"dme00562","dme00562","Inositol phosphate metabolism","1/35","47/3209",0.404996449182881,0.654477654307228,0.608816422611375,"norpA",1
"dme00330","dme00330","Arginine and proline metabolism","1/35","53/3209",0.44346489389428,0.654477654307228,0.608816422611375,"CG15864",1
"dme01212","dme01212","Fatty acid metabolism","1/35","53/3209",0.44346489389428,0.654477654307228,0.608816422611375,"FASN2",1
"dme00010","dme00010","Glycolysis / Gluconeogenesis","1/35","55/3209",0.455742315956268,0.654477654307228,0.608816422611375,"CG10467",1
"dme04080","dme04080","Neuroactive ligand-receptor interaction","1/35","56/3209",0.461781954174889,0.654477654307228,0.608816422611375,"epsilonTry",1
"dme03013","dme03013","RNA transport","2/35","148/3209",0.485333117205049,0.654477654307228,0.608816422611375,"Mtor/CG10459",2
"dme00564","dme00564","Glycerophospholipid metabolism","1/35","63/3209",0.502273548654384,0.654477654307228,0.608816422611375,"Lpin",1
"dme04070","dme04070","Phosphatidylinositol signaling system","1/35","63/3209",0.502273548654384,0.654477654307228,0.608816422611375,"norpA",1
"dme01230","dme01230","Biosynthesis of amino acids","1/35","66/3209",0.518706564338939,0.65601124313454,0.61024301686934,"CG8036",1
"dme04145","dme04145","Phagosome","1/35","89/3209",0.628330584641754,0.722154524366947,0.671771650573905,"VhaSFD",1
"dme04146","dme04146","Peroxisome","1/35","91/3209",0.636623871532162,0.722154524366947,0.671771650573905,"CG12338",1
"dme04150","dme04150","mTOR signaling pathway","1/35","96/3209",0.656578378102149,0.722154524366947,0.671771650573905,"VhaSFD",1
"dme00983","dme00983","Drug metabolism - other enzymes","1/35","97/3209",0.660439527079478,0.722154524366947,0.671771650573905,"nmdyn-D7",1
"dme04120","dme04120","Ubiquitin mediated proteolysis","1/35","100/3209",0.671771650573904,0.722154524366947,0.671771650573905,"UbcE2H",1
"dme04140","dme04140","Autophagy - animal","1/35","100/3209",0.671771650573904,0.722154524366947,0.671771650573905,"cathD",1
"dme01200","dme01200","Carbon metabolism","1/35","123/3209",0.747254180839772,0.779399836613488,0.725023103826501,"CG8036",1
"dme03040","dme03040","Spliceosome","1/35","128/3209",0.761274259017826,0.779399836613488,0.725023103826501,"l(1)G0007",1
"dme00190","dme00190","Oxidative phosphorylation","1/35","144/3209",0.801246200085489,0.801246200085489,0.745345302405107,"VhaSFD",1
