"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme00330","dme00330","Arginine and proline metabolism","1/47","53/3209",0.545450705379321,0.654540846455186,0.65071312220691,"Oat",1
"dme00010","dme00010","Glycolysis / Gluconeogenesis","1/47","55/3209",0.558890549665624,0.656088906129211,0.652252128900385,"CG9961",1
"dme04214","dme04214","Apoptosis - fly","1/47","63/3209",0.608866998842507,0.683781366631939,0.679782645189647,"Cyt-c-p",1
"dme00970","dme00970","Aminoacyl-tRNA biosynthesis","1/47","64/3209",0.614710371714218,0.683781366631939,0.679782645189647,"AlaRS-m",1
"dme04068","dme04068","FoxO signaling pathway","1/47","65/3209",0.620468277128982,0.683781366631939,0.679782645189647,"Gadd45",1
"dme04120","dme04120","Ubiquitin mediated proteolysis","1/47","100/3209",0.776619695902535,0.838749271574738,0.833844305074301,"pic",1
"dme04144","dme04144","Endocytosis","1/47","122/3209",0.840410071605814,0.889845958170862,0.884642180637699,"spartin",1
"dme04141","dme04141","Protein processing in endoplasmic reticulum","1/47","133/3209",0.865230358626782,0.898508449343197,0.893254013966921,"Tapdelta",1
"dme00190","dme00190","Oxidative phosphorylation","1/47","144/3209",0.886259883800152,0.902981768400154,0.897701173263311,"ox",1
"dme03010","dme03010","Ribosome","1/47","240/3209",0.974802568862455,0.974802568862455,0.969101969044546,"mRpS18A",1
