"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"dme03460","dme03460","Fanconi anemia pathway","2/143","26/3209",0.323813257630769,0.967506836672557,0.966201159430083,"Top3alpha/CG9062",2
"dme00600","dme00600","Sphingolipid metabolism","2/143","28/3209",0.356875457289423,0.967506836672557,0.966201159430083,"CDase/Ect3",2
"dme00051","dme00051","Fructose and mannose metabolism","2/143","29/3209",0.37319680958068,0.967506836672557,0.966201159430083,"Tpi/fbp",2
"dme03020","dme03020","RNA polymerase","2/143","29/3209",0.37319680958068,0.967506836672557,0.966201159430083,"Rpb5/Ada2a",2
"dme00513","dme00513","Various types of N-glycan biosynthesis","2/143","30/3209",0.389351538902117,0.967506836672557,0.966201159430083,"Mgat2/CG33303",2
"dme00450","dme00450","Selenocompound metabolism","1/143","11/3209",0.394828006122817,0.967506836672557,0.966201159430083,"CG6950",1
"dme00670","dme00670","One carbon pool by folate","1/143","12/3209",0.421888542434399,0.967506836672557,0.966201159430083,"Shmt",1
"dme04512","dme04512","ECM-receptor interaction","1/143","12/3209",0.421888542434399,0.967506836672557,0.966201159430083,"CG3168",1
"dme00280","dme00280","Valine, leucine and isoleucine degradation","2/143","33/3209",0.436649766921983,0.967506836672557,0.966201159430083,"Mtpalpha/Thiolase",2
"dme00010","dme00010","Glycolysis / Gluconeogenesis","3/143","55/3209",0.447118761382158,0.967506836672557,0.966201159430083,"Tpi/Gapdh2/fbp",3
"dme01200","dme01200","Carbon metabolism","6/143","123/3209",0.471218161576222,0.967506836672557,0.966201159430083,"Tpi/Gapdh2/Shmt/Taldo/Mtpalpha/fbp",6
"dme00220","dme00220","Arginine biosynthesis","1/143","15/3209",0.49606830585274,0.967506836672557,0.966201159430083,"CG9510",1
"dme00510","dme00510","N-Glycan biosynthesis","2/143","38/3209",0.510847376341091,0.967506836672557,0.966201159430083,"Mgat2/CG33303",2
"dme04214","dme04214","Apoptosis - fly","3/143","63/3209",0.538538044441605,0.967506836672557,0.966201159430083,"Dredd/egr/bic",3
"dme03022","dme03022","Basal transcription factors","2/143","40/3209",0.538704930366382,0.967506836672557,0.966201159430083,"Taf12L/Taf10b",2
"dme04146","dme04146","Peroxisome","4/143","91/3209",0.584740694104178,0.967506836672557,0.966201159430083,"ry/Pex6/CG7970/CG9577",4
"dme03430","dme03430","Mismatch repair","1/143","20/3209",0.599276915512533,0.967506836672557,0.966201159430083,"RfC3",1
"dme04013","dme04013","MAPK signaling pathway - fly","4/143","93/3209",0.602226179522388,0.967506836672557,0.966201159430083,"alph/mts/egr/Sos",4
"dme00730","dme00730","Thiamine metabolism","1/143","21/3209",0.617245997068415,0.967506836672557,0.966201159430083,"CG14721",1
"dme04130","dme04130","SNARE interactions in vesicular transport","1/143","21/3209",0.617245997068415,0.967506836672557,0.966201159430083,"Syx7",1
"dme00520","dme00520","Amino sugar and nucleotide sugar metabolism","2/143","47/3209",0.627420199788344,0.967506836672557,0.966201159430083,"sgl/Cht10",2
"dme00511","dme00511","Other glycan degradation","1/143","22/3209",0.634414699207442,0.967506836672557,0.966201159430083,"Ect3",1
"dme00983","dme00983","Drug metabolism - other enzymes","4/143","97/3209",0.635854063839172,0.967506836672557,0.966201159430083,"ry/GstD9/bur/GstE2",4
"dme04144","dme04144","Endocytosis","5/143","122/3209",0.642088020580504,0.967506836672557,0.966201159430083,"Sara/Gprk1/CCDC53/CenG1A/Hsc70-4",5
"dme03440","dme03440","Homologous recombination","1/143","23/3209",0.650818432503123,0.967506836672557,0.966201159430083,"Top3alpha",1
"dme04215","dme04215","Apoptosis - multiple species","1/143","23/3209",0.650818432503123,0.967506836672557,0.966201159430083,"Dredd",1
"dme04136","dme04136","Autophagy - other","1/143","25/3209",0.681464922665538,0.967506836672557,0.966201159430083,"mts",1
"dme01212","dme01212","Fatty acid metabolism","2/143","53/3209",0.69252613137088,0.967506836672557,0.966201159430083,"Mtpalpha/Thiolase",2
"dme00260","dme00260","Glycine, serine and threonine metabolism","1/143","28/3209",0.722496736433701,0.967506836672557,0.966201159430083,"Shmt",1
"dme04320","dme04320","Dorso-ventral axis formation","1/143","28/3209",0.722496736433701,0.967506836672557,0.966201159430083,"Sos",1
"dme00640","dme00640","Propanoate metabolism","1/143","29/3209",0.734971733821309,0.967506836672557,0.966201159430083,"Mtpalpha",1
"dme03008","dme03008","Ribosome biogenesis in eukaryotes","7/143","192/3209",0.764050330987544,0.967506836672557,0.966201159430083,"nop5/l(1)G0020/CG4038/Nop60B/NHP2/hoip/Ran",7
"dme00053","dme00053","Ascorbate and aldarate metabolism","1/143","33/3209",0.779542808311789,0.967506836672557,0.966201159430083,"sgl",1
"dme00630","dme00630","Glyoxylate and dicarboxylate metabolism","1/143","33/3209",0.779542808311789,0.967506836672557,0.966201159430083,"Shmt",1
"dme04068","dme04068","FoxO signaling pathway","2/143","65/3209",0.794773001675655,0.967506836672557,0.966201159430083,"CycB/Sos",2
"dme00310","dme00310","Lysine degradation","1/143","35/3209",0.798951121564536,0.967506836672557,0.966201159430083,"Mtpalpha",1
"dme03030","dme03030","DNA replication","1/143","35/3209",0.798951121564536,0.967506836672557,0.966201159430083,"RfC3",1
"dme00270","dme00270","Cysteine and methionine metabolism","1/143","36/3209",0.808009089307533,0.967506836672557,0.966201159430083,"CG6950",1
"dme04150","dme04150","mTOR signaling pathway","3/143","96/3209",0.810732563825226,0.967506836672557,0.966201159430083,"wg/Sos/CG5110",3
"dme00982","dme00982","Drug metabolism - cytochrome P450","2/143","68/3209",0.815162670084472,0.967506836672557,0.966201159430083,"GstD9/GstE2",2
"dme00052","dme00052","Galactose metabolism","1/143","37/3209",0.816661689442744,0.967506836672557,0.966201159430083,"Ect3",1
"dme00980","dme00980","Metabolism of xenobiotics by cytochrome P450","2/143","69/3209",0.821549208329315,0.967506836672557,0.966201159430083,"GstD9/GstE2",2
"dme04745","dme04745","Phototransduction - fly","1/143","38/3209",0.824926941148194,0.967506836672557,0.966201159430083,"Gprk1",1
"dme03420","dme03420","Nucleotide excision repair","1/143","39/3209",0.832822068053211,0.967506836672557,0.966201159430083,"RfC3",1
"dme00230","dme00230","Purine metabolism","3/143","101/3209",0.837272497404457,0.967506836672557,0.966201159430083,"ry/bur/AdSL",3
"dme00561","dme00561","Glycerolipid metabolism","1/143","42/3209",0.854447725017924,0.967506836672557,0.966201159430083,"CG1941",1
"dme00480","dme00480","Glutathione metabolism","2/143","78/3209",0.870719870307031,0.967506836672557,0.966201159430083,"GstD9/GstE2",2
"dme00620","dme00620","Pyruvate metabolism","1/143","46/3209",0.879019617280621,0.967506836672557,0.966201159430083,"tzn",1
"dme00562","dme00562","Inositol phosphate metabolism","1/143","47/3209",0.884489169834801,0.967506836672557,0.966201159430083,"Tpi",1
"dme00040","dme00040","Pentose and glucuronate interconversions","1/143","50/3209",0.899467398808858,0.967506836672557,0.966201159430083,"sgl",1
"dme04142","dme04142","Lysosome","3/143","118/3209",0.904986257903852,0.967506836672557,0.966201159430083,"CG30059/rb/Ect3",3
"dme04213","dme04213","Longevity regulating pathway - multiple species","1/143","56/3209",0.923879909584807,0.967506836672557,0.966201159430083,"Hsc70-4",1
"dme04120","dme04120","Ubiquitin mediated proteolysis","2/143","100/3209",0.94334732977506,0.967506836672557,0.966201159430083,"Uba1/Prp19",2
"dme04140","dme04140","Autophagy - animal","2/143","100/3209",0.94334732977506,0.967506836672557,0.966201159430083,"mts/eIF2alpha",2
"dme00564","dme00564","Glycerophospholipid metabolism","1/143","63/3209",0.945013084824942,0.967506836672557,0.966201159430083,"eas",1
"dme04624","dme04624","Toll and Imd signaling pathway","1/143","67/3209",0.954353620168625,0.967506836672557,0.966201159430083,"Dredd",1
"dme04310","dme04310","Wnt signaling pathway","2/143","106/3209",0.955102902869062,0.967506836672557,0.966201159430083,"CG3226/wg",2
"dme04145","dme04145","Phagosome","1/143","89/3209",0.98367613519504,0.98367613519504,0.982348637036882,"Syx7",1
